separation_lambda_over_D,coupling_efficiency
4.605,0.000410293865153733
4.61,0.000406807876273657
4.615,0.000403520221201815
4.62,0.000400428228103777
4.625,0.000397529327550451
4.63,0.000394821052173984
4.635,0.000392301036229861
4.64,0.000389967015063931
4.645,0.000387816824488367
4.65,0.000385848400064859
4.655,0.000384059776298589
4.66,0.000382449085743982
4.665,0.000381014558022037
4.67,0.000379754518753232
4.675,0.000378667388405596
4.68,0.000377751681060149
4.685,0.00037700600309627
4.69,0.000376429051796987
4.695,0.000376019613877246
4.7,0.000375776563936723
4.705,0.000375698862838642
4.71,0.000375785556017189
4.715,0.000376035771713966
4.72,0.000376448719148474
4.725,0.000377023686620792
4.73,0.00037776003955158
4.735,0.000378657218460149
4.74,0.000379714736882907
4.745,0.000380932179234653
4.75,0.000382309198614624
4.755,0.000383845514559648
4.76,0.000385540910746581
4.765,0.000387395232646661
4.77,0.000389408385133712
4.775,0.000391580330048742
4.78,0.000393911083723035
4.785,0.000396400714462844
4.79,0.000399049339996842
4.795,0.000401857124890525
4.8,0.000404824277927493
4.805,0.000407951049463219
4.81,0.000411237728750807
4.815,0.000414684641242548
4.82,0.000418292145870924
4.825,0.000422060632308497
4.83,0.000425990518211529
4.835,0.000430082246450388
4.84,0.000434336282326293
4.845,0.00043875311077943
4.85,0.000443333233590187
4.855,0.000448077166575221
4.86,0.000452985436782198
4.865,0.000458058579684646
4.87,0.000463297136378981
4.875,0.000468701650787801
4.88,0.000474272666869475
4.885,0.000480010725838814
4.89,0.000485916363399675
4.895,0.000491990106991857
4.9,0.000498232473055761
4.905,0.000504643964315258
4.91,0.000511225067083133
4.915,0.000517976248589618
4.92,0.000524897954337033
4.925,0.000531990605483199
4.93,0.000539254596254149
4.935,0.00054669029138951
4.94,0.000554298023623627
4.945,0.000562078091201047
4.95,0.000570030755432229
4.955,0.000578156238289865
4.96,0.000586454720045885
4.965,0.000594926336954522
4.97,0.000603571178981261
4.975,0.000612389287578496
4.98,0.000621380653512757
4.985,0.000630545214741819
4.99,0.000639882854345815
4.995,0.000649393398512061
5,0.000659076614577415
5.005,0.000668932209127433
5.01,0.00067895982615465
5.015,0.000689159045278603
5.02,0.000699529380025967
5.025,0.000710070276175529
5.03,0.000720781110167743
5.035,0.00073166118757768
5.04,0.000742709741658075
5.045,0.000753925931947923
5.05,0.000765308842950779
5.055,0.00077685748288287
5.06,0.000788570782492124
5.065,0.000800447593948373
5.07,0.00081248668980674
5.075,0.000824686762042903
5.08,0.000837046421164039
5.085,0.000849564195391662
5.09,0.000862238529922156
5.095,0.00087506778626046
5.1,0.000888050241631033
5.105,0.000901184088463906
5.11,0.000914467433958459
5.115,0.00092789829972342
5.12,0.00094147462149296
