# wavelength (nm),inst_bkg (ph/s) 
9.332000000000030013e+02,7.155972023035466978e-87
9.333000000000030241e+02,7.326019055894162677e-87
9.334000000000030468e+02,7.500069067359926027e-87
9.335000000000030695e+02,7.678215394637205927e-87
9.336000000000030923e+02,7.860553530317359033e-87
9.337000000000031150e+02,8.047181171666799388e-87
9.338000000000031378e+02,8.238198271030142979e-87
9.339000000000031605e+02,8.433707087373205392e-87
9.340000000000031832e+02,8.633812238994552278e-87
9.341000000000032060e+02,8.838620924629319203e-87
9.342000000000032287e+02,9.048242484929472551e-87
9.343000000000032514e+02,9.262788944796257110e-87
9.344000000000032742e+02,9.482374911510192894e-87
9.345000000000032969e+02,9.707117633677681656e-87
9.346000000000033197e+02,9.937137061511138571e-87
9.347000000000033424e+02,1.017255590846845204e-86
9.348000000000033651e+02,1.041349971428908657e-86
9.349000000000033879e+02,1.066009690944879552e-86
9.350000000000034106e+02,1.091247888107340015e-86
9.351000000000034333e+02,1.117078017245657909e-86
9.352000000000034561e+02,1.143513816190761630e-86
9.353000000000034788e+02,1.170569351724576050e-86
9.354000000000035016e+02,1.198259014181629320e-86
9.355000000000035243e+02,1.226597524817910788e-86
