# wavelength (nm),inst_bkg (ph/s) 
9.257000000000012960e+02,1.283221604211120767e-87
9.258000000000013188e+02,1.314227473099613296e-87
9.259000000000013415e+02,1.345975564768585079e-87
9.260000000000013642e+02,1.378483479406258087e-87
9.261000000000013870e+02,1.411769230567753460e-87
9.262000000000014097e+02,1.445851254789986492e-87
9.263000000000014325e+02,1.480748421427380092e-87
9.264000000000014552e+02,1.516480042714569508e-87
9.265000000000014779e+02,1.553065884060253482e-87
9.266000000000015007e+02,1.590526174578602158e-87
9.267000000000015234e+02,1.628881617862474924e-87
9.268000000000015461e+02,1.668153403004758478e-87
9.269000000000015689e+02,1.708363215872749586e-87
9.270000000000015916e+02,1.749533250642603416e-87
9.271000000000016144e+02,1.791686221598395495e-87
9.272000000000016371e+02,1.834845375202069239e-87
9.273000000000016598e+02,1.879034502441524541e-87
9.274000000000016826e+02,1.924277951462136875e-87
9.275000000000017053e+02,1.970600640487685721e-87
9.276000000000017280e+02,2.018028071039120721e-87
9.277000000000017508e+02,2.066586341456193157e-87
9.278000000000017735e+02,2.116302160729020506e-87
9.279000000000017963e+02,2.167202862648814829e-87
9.280000000000018190e+02,2.219316420280524626e-87
9.281000000000018417e+02,2.272671460770169963e-87
9.282000000000018645e+02,2.327297280490030834e-87
9.283000000000018872e+02,2.383223860531660426e-87
9.284000000000019099e+02,2.440481882554488455e-87
9.285000000000019327e+02,2.499102744995778635e-87
9.286000000000019554e+02,2.559118579655139533e-87
9.287000000000019782e+02,2.620562268656073485e-87
9.288000000000020009e+02,2.683467461797434677e-87
9.289000000000020236e+02,2.747868594301536882e-87
9.290000000000020464e+02,2.813800904969441536e-87
9.291000000000020691e+02,2.881300454750091628e-87
9.292000000000020918e+02,2.950404145737069765e-87
9.293000000000021146e+02,3.021149740596283474e-87
9.294000000000021373e+02,3.093575882441871219e-87
9.295000000000021600e+02,3.167722115163576381e-87
9.296000000000021828e+02,3.243628904220385987e-87
9.297000000000022055e+02,3.321337657908686444e-87
9.298000000000022283e+02,3.400890749117481042e-87
9.299000000000022510e+02,3.482331537578984431e-87
9.300000000000022737e+02,3.565704392629223882e-87
9.301000000000022965e+02,3.651054716487060336e-87
9.302000000000023192e+02,3.738428968064950407e-87
9.303000000000023419e+02,3.827874687323915041e-87
9.304000000000023647e+02,3.919440520184176404e-87
9.305000000000023874e+02,4.013176244002116901e-87
9.306000000000024102e+02,4.109132793632341916e-87
9.307000000000024329e+02,4.207362288079675853e-87
9.308000000000024556e+02,4.307918057762403726e-87
9.309000000000024784e+02,4.410854672394203333e-87
9.310000000000025011e+02,4.516227969504787279e-87
9.311000000000025238e+02,4.624095083605778334e-87
9.312000000000025466e+02,4.734514476026028948e-87
9.313000000000025693e+02,4.847545965423139239e-87
9.314000000000025921e+02,4.963250758989357689e-87
9.315000000000026148e+02,5.081691484371269419e-87
9.316000000000026375e+02,5.202932222312589201e-87
9.317000000000026603e+02,5.327038540040298091e-87
9.318000000000026830e+02,5.454077525412559737e-87
9.319000000000027057e+02,5.584117821840296272e-87
